filename	plate.pos	arb.sort	sampID	sample.type	timepoint	date	time	extractplate	rnaprepplate
A2450525897_n01_LICRNA01_A01.fastq.gz	A01	1	LIC001	plant	t01	11/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_B01.fastq.gz	B01	2	LIC002	plant	t01	11/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_C01.fastq.gz	C01	3	LIC003	plant	t01	11/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_D01.fastq.gz	D01	4	LIC004	plant	t01	11/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_E01.fastq.gz	E01	5	LIC005	plant	t01	11/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_F01.fastq.gz	F01	6	LIC006	plant	t01	11/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_G01.fastq.gz	G01	7	LIC007	plant	t01	11/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_H01.fastq.gz	H01	8	LIC008	plant	t01	11/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_A02.fastq.gz	A02	9	LIC013	plant	t02	11/7/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_B02.fastq.gz	B02	10	LIC014	plant	t02	11/7/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_C02.fastq.gz	C02	11	LIC015	plant	t02	11/7/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_D02.fastq.gz	D02	12	LIC016	plant	t02	11/7/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_E02.fastq.gz	E02	13	LIC017	plant	t02	11/7/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_F02.fastq.gz	F02	14	LIC018	plant	t02	11/7/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_G02.fastq.gz	G02	15	LIC019	plant	t02	11/7/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_H02.fastq.gz	H02	16	LIC020	plant	t02	11/7/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_A03.fastq.gz	A03	17	LIC025	plant	t03	11/14/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_B03.fastq.gz	B03	18	LIC026	plant	t03	11/14/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_C03.fastq.gz	C03	19	LIC027	plant	t03	11/14/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_D03.fastq.gz	D03	20	LIC028	plant	t03	11/14/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_E03.fastq.gz	E03	21	LIC029	plant	t03	11/14/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_F03.fastq.gz	F03	22	LIC030	plant	t03	11/14/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_G03.fastq.gz	G03	23	LIC031	plant	t03	11/14/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_H03.fastq.gz	H03	24	LIC032	plant	t03	11/14/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_A04.fastq.gz	A04	25	LIC037	plant	t04	11/17/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_B04.fastq.gz	B04	26	LIC038	plant	t04	11/17/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_C04.fastq.gz	C04	27	LIC039	plant	t04	11/17/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_D04.fastq.gz	D04	28	LIC040	plant	t04	11/17/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_E04.fastq.gz	E04	29	LIC041	plant	t04	11/17/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_F04.fastq.gz	F04	30	LIC042	plant	t04	11/17/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_G04.fastq.gz	G04	31	LIC043	plant	t04	11/17/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_H04.fastq.gz	H04	32	LIC044	plant	t04	11/17/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_A05.fastq.gz	A05	33	LIC049	plant	t05	11/21/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_B05.fastq.gz	B05	34	LIC050	plant	t05	11/21/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_C05.fastq.gz	C05	35	LIC051	plant	t05	11/21/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_D05.fastq.gz	D05	36	LIC052	plant	t05	11/21/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_E05.fastq.gz	E05	37	LIC053	plant	t05	11/21/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_F05.fastq.gz	F05	38	LIC054	plant	t05	11/21/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_G05.fastq.gz	G05	39	LIC055	plant	t05	11/21/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_H05.fastq.gz	H05	40	LIC056	plant	t05	11/21/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_A06.fastq.gz	A06	41	LIC061	plant	t06	11/28/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_B06.fastq.gz	B06	42	LIC062	plant	t06	11/28/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_C06.fastq.gz	C06	43	LIC063	plant	t06	11/28/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_D06.fastq.gz	D06	44	LIC064	plant	t06	11/28/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_E06.fastq.gz	E06	45	LIC065	plant	t06	11/28/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_F06.fastq.gz	F06	46	LIC066	plant	t06	11/28/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_G06.fastq.gz	G06	47	LIC067	plant	t06	11/28/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_H06.fastq.gz	H06	48	LIC068	plant	t06	11/28/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_A07.fastq.gz	A07	49	LIC073	plant	t07	12/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_B07.fastq.gz	B07	50	LIC074	plant	t07	12/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_C07.fastq.gz	C07	51	LIC075	plant	t07	12/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_D07.fastq.gz	D07	52	LIC076	plant	t07	12/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_E07.fastq.gz	E07	53	LIC077	plant	t07	12/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_F07.fastq.gz	F07	54	LIC078	plant	t07	12/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_G07.fastq.gz	G07	55	LIC079	plant	t07	12/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_H07.fastq.gz	H07	56	LIC080	plant	t07	12/1/23	8:00	LIC_01	LICRNA_01
A2450525897_n01_LICRNA01_A08.fastq.gz	A08	57	LIC097	plant	t09	12/8/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_B08.fastq.gz	B08	58	LIC098	plant	t09	12/8/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_C08.fastq.gz	C08	59	LIC099	plant	t09	12/8/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_D08.fastq.gz	D08	60	LIC100	plant	t09	12/8/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_E08.fastq.gz	E08	61	LIC101	plant	t09	12/8/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_F08.fastq.gz	F08	62	LIC102	plant	t09	12/8/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_G08.fastq.gz	G08	63	LIC103	plant	t09	12/8/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_H08.fastq.gz	H08	64	LIC104	plant	t09	12/8/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_A09.fastq.gz	A09	65	LIC109	plant	t10	12/12/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_B09.fastq.gz	B09	66	LIC110	plant	t10	12/12/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_C09.fastq.gz	C09	67	LIC111	plant	t10	12/12/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_D09.fastq.gz	D09	68	LIC112	plant	t10	12/12/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_E09.fastq.gz	E09	69	LIC113	plant	t10	12/12/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_F09.fastq.gz	F09	70	LIC114	plant	t10	12/12/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_G09.fastq.gz	G09	71	LIC115	plant	t10	12/12/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_H09.fastq.gz	H09	72	LIC116	plant	t10	12/12/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_A10.fastq.gz	A10	73	LIC121	plant	t11	12/15/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_B10.fastq.gz	B10	74	LIC122	plant	t11	12/15/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_C10.fastq.gz	C10	75	LIC123	plant	t11	12/15/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_D10.fastq.gz	D10	76	LIC124	plant	t11	12/15/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_E10.fastq.gz	E10	77	LIC125	plant	t11	12/15/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_F10.fastq.gz	F10	78	LIC126	plant	t11	12/15/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_G10.fastq.gz	G10	79	LIC127	plant	t11	12/15/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_H10.fastq.gz	H10	80	LIC128	plant	t11	12/15/23	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_A11.fastq.gz	A11	81	LIC133	plant	t12	1/5/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_B11.fastq.gz	B11	82	LIC134	plant	t12	1/5/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_C11.fastq.gz	C11	83	LIC135	plant	t12	1/5/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_D11.fastq.gz	D11	84	LIC136	plant	t12	1/5/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_E11.fastq.gz	E11	85	LIC137	plant	t12	1/5/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_F11.fastq.gz	F11	86	LIC138	plant	t12	1/5/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_G11.fastq.gz	G11	87	LIC139	plant	t12	1/5/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_H11.fastq.gz	H11	88	LIC140	plant	t12	1/5/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_A12.fastq.gz	A12	89	LIC145	plant	t13	1/15/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_B12.fastq.gz	B12	90	LIC146	plant	t13	1/15/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_C12.fastq.gz	C12	91	LIC147	plant	t13	1/15/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_D12.fastq.gz	D12	92	LIC148	plant	t13	1/15/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_E12.fastq.gz	E12	93	LIC149	plant	t13	1/15/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_F12.fastq.gz	F12	94	LIC150	plant	t13	1/15/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_G12.fastq.gz	G12	95	LIC151	plant	t13	1/15/24	8:00	LIC_02	LICRNA_01
A2450525897_n01_LICRNA01_H12.fastq.gz	H12	96	LIC152	plant	t13	1/15/24	8:00	LIC_02	LICRNA_01
A2449446903_n01_LICRNA02_A01.fastq.gz	A01	1	LIC157	plant	t14	1/23/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_B01.fastq.gz	B01	2	LIC158	plant	t14	1/23/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_C01.fastq.gz	C01	3	LIC159	plant	t14	1/23/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_D01.fastq.gz	D01	4	LIC160	plant	t14	1/23/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_E01.fastq.gz	E01	5	LIC161	plant	t14	1/23/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_F01.fastq.gz	F01	6	LIC162	plant	t14	1/23/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_G01.fastq.gz	G01	7	LIC163	plant	t14	1/23/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_H01.fastq.gz	H01	8	LIC164	plant	t14	1/23/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_A02.fastq.gz	A02	9	LIC169	plant	t15	1/27/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_B02.fastq.gz	B02	10	LIC170	plant	t15	1/27/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_C02.fastq.gz	C02	11	LIC171	plant	t15	1/27/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_D02.fastq.gz	D02	12	LIC172	plant	t15	1/27/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_E02.fastq.gz	E02	13	LIC173	plant	t15	1/27/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_F02.fastq.gz	F02	14	LIC174	plant	t15	1/27/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_G02.fastq.gz	G02	15	LIC175	plant	t15	1/27/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_H02.fastq.gz	H02	16	LIC176	plant	t15	1/27/24	8:00	LIC_02	LICRNA_02
A2449446903_n01_LICRNA02_A03.fastq.gz	A03	17	LIC193	plant	t17	2/2/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_B03.fastq.gz	B03	18	LIC194	plant	t17	2/2/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_C03.fastq.gz	C03	19	LIC195	plant	t17	2/2/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_D03.fastq.gz	D03	20	LIC196	plant	t17	2/2/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_E03.fastq.gz	E03	21	LIC197	plant	t17	2/2/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_F03.fastq.gz	F03	22	LIC198	plant	t17	2/2/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_G03.fastq.gz	G03	23	LIC199	plant	t17	2/2/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_H03.fastq.gz	H03	24	LIC200	plant	t17	2/2/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_A04.fastq.gz	A04	25	LIC205	plant	t18	2/6/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_B04.fastq.gz	B04	26	LIC206	plant	t18	2/6/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_C04.fastq.gz	C04	27	LIC207	plant	t18	2/6/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_D04.fastq.gz	D04	28	LIC208	plant	t18	2/6/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_E04.fastq.gz	E04	29	LIC209	plant	t18	2/6/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_F04.fastq.gz	F04	30	LIC210	plant	t18	2/6/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_G04.fastq.gz	G04	31	LIC211	plant	t18	2/6/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_H04.fastq.gz	H04	32	LIC212	plant	t18	2/6/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_A05.fastq.gz	A05	33	LIC217	plant	t19	2/9/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_B05.fastq.gz	B05	34	LIC218	plant	t19	2/9/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_C05.fastq.gz	C05	35	LIC219	plant	t19	2/9/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_D05.fastq.gz	D05	36	LIC220	plant	t19	2/9/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_E05.fastq.gz	E05	37	LIC221	plant	t19	2/9/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_F05.fastq.gz	F05	38	LIC222	plant	t19	2/9/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_G05.fastq.gz	G05	39	LIC223	plant	t19	2/9/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_H05.fastq.gz	H05	40	LIC224	plant	t19	2/9/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_A06.fastq.gz	A06	41	LIC229	plant	t20	2/16/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_B06.fastq.gz	B06	42	LIC230	plant	t20	2/16/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_C06.fastq.gz	C06	43	LIC231	plant	t20	2/16/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_D06.fastq.gz	D06	44	LIC232	plant	t20	2/16/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_E06.fastq.gz	E06	45	LIC233	plant	t20	2/16/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_F06.fastq.gz	F06	46	LIC234	plant	t20	2/16/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_G06.fastq.gz	G06	47	LIC235	plant	t20	2/16/24	8:00	LIC_03	LICRNA_02
A2449446903_n01_LICRNA02_H06.fastq.gz	H06	48	LIC236	plant	t20	2/16/24	8:00	LIC_03	LICRNA_02
